Simulation	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650
1	0	0	0	0	0.01	0.02	0.05	0.18	0.3	0.71	0.84	0.93	0.97	0.94	0.92	0.92
2	0	0	0.01	0.01	0.01	0.03	0.05	0.19	0.25	0.71	0.82	0.95	0.96	0.96	0.94	0.91
3	0	0	0.01	0	0	0.03	0.05	0.17	0.28	0.7	0.83	0.95	0.96	0.96	0.9	0.96
4	0	0	0	0.01	0.01	0.01	0.07	0.18	0.27	0.7	0.8	0.95	0.96	0.94	0.91	0.94
5	0	0	0	0	0.03	0.02	0.05	0.18	0.27	0.67	0.87	0.96	0.94	0.95	0.94	0.93
6	0	0	0	0	0.01	0.02	0.05	0.17	0.28	0.67	0.85	0.97	0.97	0.95	0.9	0.97
7	0	0	0.01	0	0	0.03	0.06	0.14	0.33	0.66	0.85	0.94	0.98	0.91	0.95	0.92
8	0	0	0	0.01	0	0.03	0.05	0.18	0.28	0.69	0.82	0.93	0.96	0.98	0.93	0.9
9	0	0	0.01	0.01	0	0.02	0.05	0.18	0.3	0.66	0.83	0.93	0.97	0.96	0.93	0.92
10	0	0	0	0	0	0.02	0.05	0.17	0.3	0.67	0.82	0.97	0.96	0.93	0.94	0.94
11	0	0	0	0	0	0.02	0.06	0.18	0.3	0.67	0.84	0.96	0.97	0.95	0.92	0.9
12	0	0	0	0.01	0	0.02	0.07	0.17	0.29	0.69	0.83	0.93	0.98	0.95	0.9	0.94
13	0	0	0.01	0	0.01	0.02	0.05	0.17	0.3	0.68	0.82	0.95	0.97	0.96	0.9	0.93
14	0	0.02	0.01	0.01	0.01	0.02	0.06	0.18	0.28	0.7	0.78	0.95	0.96	0.96	0.94	0.89
15	0	0	0	0.01	0.01	0.02	0.06	0.17	0.29	0.66	0.82	0.94	0.97	0.95	0.92	0.95
16	0	0	0	0	0.01	0.02	0.05	0.2	0.28	0.67	0.82	0.95	0.98	0.95	0.9	0.93
17	0	0	0	0	0.01	0.03	0.05	0.18	0.28	0.7	0.83	0.95	0.98	0.96	0.91	0.95
18	0.02	0	0	0.01	0.01	0.03	0.05	0.19	0.28	0.64	0.85	0.95	0.97	0.95	0.92	0.93
19	0	0	0	0	0	0.02	0.05	0.17	0.3	0.67	0.83	0.94	0.97	0.96	0.92	0.93
20	0	0	0	0	0.01	0.03	0.05	0.17	0.29	0.68	0.86	0.94	0.97	0.94	0.92	0.94
21	0	0	0	0	0.01	0.03	0.05	0.17	0.28	0.7	0.79	0.97	0.96	0.92	0.94	0.95
